# time=2019-03-06T12:15:00Z
lat,lon,pressure,ff,dd
56.739658,12.238377,32300.0,89.61,287
55.795597,9.936934,30500.0,76.69,274
53.786919,-4.319191,36900.0,41.94,206
42.847939,-23.969263,37200.0,124.15,310
42.792843,-23.141798,35900.0,114.95,311
50.490234,1.312834,31600.0,65.29,209
47.939259,50.219784,37500.0,33.74,239
47.588043,-6.603618,35700.0,50.18,208
45.361946,37.547485,35200.0,51.33,228
46.231647,-6.364072,34500.0,50.49,196
38.398544,-29.138561,30400.0,65.58,310
45.901768,-5.981651,34800.0,54.22,191
46.304474,-6.582657,35700.0,54.81,189
38.458218,-28.497368,30200.0,65.35,311
38.42297,-29.492561,36500.0,52.6,313
37.358986,-28.072886,30200.0,63.38,307
40.889336,4.451967,32500.0,44.25,228
38.363354,37.892452,31500.0,38.44,276
37.160084,32.575672,36500.0,40.97,283
35.677364,17.783617,35100.0,24.56,297
35.35495,17.88201,33000.0,26.01,294
37.603012,4.098192,30700.0,39.0,244
35.233536,17.507448,32700.0,26.54,293
38.001709,3.298205,30400.0,41.02,238
37.740829,3.727998,30900.0,40.82,242
37.583435,3.752472,30900.0,39.8,244
54.123329,13.685421,31700.0,69.81,295
55.4146,10.278609,30200.0,69.04,280
55.456223,9.969125,30800.0,72.64,274
44.69619,-23.551743,31700.0,128.03,313
51.999504,2.660841,35700.0,68.03,213
51.940796,3.174346,35800.0,73.7,214
51.596199,2.271721,36300.0,74.78,209
51.655045,3.175177,36200.0,67.65,211
48.652119,5.49644,34600.0,42.48,228
45.781109,30.573759,30700.0,30.63,255
50.394249,1.692821,31500.0,63.45,210
50.745617,2.249456,36400.0,66.48,211
49.423096,4.362366,35500.0,54.97,221
50.010544,3.641267,36200.0,61.65,217
49.490303,3.983303,36500.0,58.22,218
49.046528,2.80032,32400.0,60.05,214
48.638332,3.802494,32700.0,57.01,218
48.337734,4.018849,31800.0,57.24,222
49.189041,48.586494,31900.0,70.75,233
47.623299,50.056057,37600.0,34.77,240
47.31255,45.138081,32500.0,56.36,234
47.947906,-5.745581,33800.0,56.95,209
47.431709,38.550232,35600.0,65.62,235
48.103542,-5.955401,34700.0,49.82,210
48.082077,-5.951652,34200.0,51.34,210
46.870693,37.662182,35500.0,63.0,230
46.716167,37.444111,35100.0,60.52,231
46.065399,35.855488,33400.0,59.14,227
45.812515,35.769215,33900.0,62.01,228
47.933228,-5.093599,33700.0,51.9,208
45.262348,35.276821,35200.0,53.79,226
45.153378,35.364044,34400.0,53.4,227
35.048363,-19.005611,36600.0,71.64,322
40.300098,3.986398,32400.0,45.01,224
38.225994,37.723457,31300.0,38.89,275
38.5966,6.632608,31900.0,32.02,266
