# time=2019-03-06T12:30:00Z
lat,lon,pressure,ff,dd
33.969208,28.885157,80000.0,14.38,251
33.013855,26.860312,79700.0,11.92,269
49.245182,26.166752,74000.0,22.34,316
50.858253,23.840191,75100.0,21.17,302
50.653408,26.729561,76300.0,20.39,317
50.926624,23.830349,75000.0,21.77,298
51.114044,23.34831,75800.0,19.23,294
50.41563,26.959906,77300.0,18.78,311
48.008755,26.432175,73400.0,25.46,317
50.492661,30.64868,73400.0,22.66,292
34.561359,29.618937,79800.0,14.18,260
50.721565,23.449114,73600.0,18.11,302
50.843037,23.077599,74700.0,18.68,292
49.972504,26.376915,75700.0,18.83,316
51.410038,27.244818,77100.0,18.57,308
35.410233,-9.536703,76100.0,25.71,293
32.629715,-11.0957,75700.0,15.13,285
51.399006,27.114285,76300.0,19.56,314
50.957581,23.725222,75000.0,21.6,301
39.274384,-10.442951,79600.0,38.23,289
38.428524,-11.617824,79100.0,34.66,302
38.412125,-11.457299,79600.0,34.22,302
37.507969,-12.336446,79000.0,26.98,306
36.120258,-13.446496,74400.0,26.77,313
35.187244,-14.437669,72700.0,25.26,318
35.47113,-10.358962,73700.0,24.28,289
35.430077,-9.973852,74200.0,25.68,291
35.32206,-10.105016,73800.0,25.42,291
35.426071,-10.772792,73800.0,23.56,291
34.58606,-14.621654,70700.0,20.35,315
34.434921,-13.496544,72200.0,22.35,311
34.642605,-11.727167,76800.0,25.31,298
34.125603,-13.038689,73500.0,21.23,314
34.43866,-13.208959,72200.0,22.16,311
33.963058,-13.621302,74400.0,20.58,314
34.169071,-12.563172,75100.0,20.83,302
33.710178,-14.551681,74000.0,19.44,317
33.764156,-13.003918,76900.0,22.29,318
33.595013,-13.304326,77700.0,22.99,316
33.806351,-12.409536,75300.0,20.01,300
33.581055,-12.999553,78400.0,22.49,317
33.203457,-13.487489,78800.0,23.26,318
33.03651,-13.471016,79600.0,24.16,316
33.231396,-13.450242,79000.0,23.39,318
32.787075,-13.408304,79800.0,20.47,315
32.764091,-13.199804,79700.0,20.77,316
32.51825,-14.869004,79600.0,19.7,332
32.500637,-15.58669,80000.0,18.85,331
31.977112,-14.462281,76800.0,16.26,321
31.851065,-14.453218,78000.0,16.05,325
31.232702,-13.096893,79400.0,14.03,316
38.912262,-10.604424,79200.0,37.11,289
37.333439,-11.881427,79000.0,26.89,306
35.807919,-13.452799,74100.0,25.99,313
35.83807,-13.145321,73400.0,26.35,312
35.686592,-13.364812,72400.0,25.71,311
35.333763,-14.391724,74500.0,25.25,317
35.219753,-13.373763,72400.0,23.82,310
34.994991,-14.635991,73000.0,24.79,317
34.83997,-14.586184,71300.0,23.08,318
34.771805,-13.162302,70900.0,25.3,307
35.476593,-10.967352,75100.0,25.56,297
34.92028,-10.685943,75400.0,25.77,293
34.48362,-13.837314,74100.0,20.16,311
34.086803,-14.648388,70700.0,19.97,313
33.944466,-14.258902,77900.0,19.54,317
33.875797,-13.125785,74400.0,21.66,315
34.236881,-11.964969,74700.0,23.46,297
34.349655,-11.831714,78500.0,24.53,298
33.731972,-13.868499,77100.0,20.02,315
33.764233,-13.452394,74900.0,21.22,316
33.780403,-15.284073,75900.0,22.32,326
33.636791,-14.804047,74200.0,19.98,324
33.531723,-14.609201,78800.0,20.79,324
33.47287,-14.464589,78700.0,21.35,324
33.336178,-13.440135,78300.0,22.55,316
33.665604,-12.30583,76500.0,20.28,301
32.977139,-13.267509,79600.0,24.34,316
33.531513,-12.499619,77100.0,22.01,305
33.04821,-12.919387,78400.0,25.15,317
33.124523,-12.277135,78100.0,19.02,299
32.698345,-15.415944,80000.0,19.18,330
32.806835,-12.211636,80000.0,17.15,303
32.407219,-14.51381,78200.0,19.24,322
32.24271,-14.672059,79600.0,18.33,332
32.298676,-14.39459,76400.0,16.55,323
31.891991,-14.282398,76900.0,16.12,321
31.358604,-15.694818,79800.0,10.09,321
31.133678,-13.20622,79000.0,11.84,313
51.202393,23.408752,76600.0,20.27,302
49.27631,26.521637,74000.0,23.03,312
39.245811,-10.717082,79000.0,39.44,291
37.638241,-15.509502,73800.0,29.69,310
36.75386,-15.636453,73700.0,31.17,317
36.516598,-15.665084,79400.0,30.93,317
34.255733,-12.865546,76000.0,20.86,295
33.626915,-16.184557,71000.0,20.87,328
33.604153,-19.104733,77100.0,21.03,338
33.528072,-16.311008,72600.0,20.05,328
33.405102,-19.124916,77600.0,20.68,339
33.421036,-18.516533,78800.0,19.82,339
33.241215,-16.378441,78700.0,19.81,330
32.797703,-19.380913,75300.0,17.46,343
32.27895,-19.020456,79600.0,17.9,347
32.095436,-18.660431,76600.0,18.8,347
32.041382,-18.085197,78300.0,19.83,347
32.024014,-18.38232,74700.0,19.08,347
31.999668,-18.177124,75600.0,19.41,347
31.912481,-18.368368,74200.0,19.24,347
32.055851,-19.810137,76100.0,18.23,352
32.051952,-19.732025,76100.0,18.14,351
31.766315,-18.298979,74200.0,18.5,347
31.642477,-18.931515,72500.0,17.51,349
32.215176,-19.379637,78000.0,18.33,347
31.599108,-18.65827,71700.0,17.48,349
31.59417,-17.809259,77100.0,17.7,347
31.45809,-18.813354,72200.0,17.28,349
31.481369,-18.195681,72100.0,17.02,347
31.623205,-20.523111,73100.0,15.19,5
31.370214,-17.701281,76800.0,15.71,344
31.311073,-18.359982,74500.0,15.71,349
31.30427,-17.110706,78900.0,13.8,342
31.161919,-18.571711,72700.0,15.94,348
31.065033,-17.865299,75100.0,16.36,342
31.132416,-17.639908,74600.0,15.91,341
30.99235,-19.169167,75200.0,18.36,348
31.009844,-18.923689,74500.0,18.49,348
30.845585,-17.216454,74300.0,19.09,340
30.808764,-17.505938,74400.0,18.24,340
30.650156,-20.510937,77500.0,18.52,355
30.690105,-17.686071,74500.0,17.93,340
30.556744,-17.405487,74500.0,18.43,338
30.659185,-20.745035,71900.0,18.39,356
30.620062,-20.015236,80000.0,17.83,354
30.569878,-19.440268,79400.0,17.32,352
30.545948,-17.015406,77000.0,18.59,336
30.717215,-19.388733,78000.0,17.57,352
30.585064,-19.109947,77600.0,17.85,350
30.148792,-17.667345,79600.0,18.16,341
29.807663,-21.13485,70300.0,16.53,5
29.748472,-20.74518,72100.0,16.94,1
29.469152,-21.045887,73400.0,16.45,8
27.299541,-22.366068,76700.0,17.09,23
27.098776,-22.333933,73200.0,16.08,30
26.792992,-21.463514,78400.0,17.61,30
26.850866,-22.37396,72600.0,17.3,31
26.723145,-22.264769,76400.0,17.59,29
50.636066,26.367371,75400.0,18.89,308
42.29583,-14.676912,76300.0,35.63,315
36.306381,-13.638688,72700.0,26.69,312
35.242481,-10.448689,73800.0,25.03,292
35.064892,-10.427729,74700.0,25.9,294
34.926235,-10.454906,78700.0,25.89,292
33.948246,-15.627617,74300.0,23.22,327
33.583385,-19.229792,76300.0,21.46,340
33.608406,-19.15897,77200.0,18.75,336
33.380825,-19.209206,75400.0,21.1,340
33.355347,-16.063408,77800.0,21.15,328
33.252094,-19.3627,73500.0,20.46,342
33.289928,-19.250759,75000.0,20.6,342
33.351032,-18.801371,79000.0,20.47,340
33.219231,-16.1521,78900.0,20.28,330
33.145069,-18.405079,80000.0,18.66,341
33.086548,-16.294727,77600.0,17.05,329
33.086056,-19.361652,73500.0,18.52,343
32.671268,-19.868984,76100.0,16.92,343
32.471584,-19.39185,76500.0,17.41,344
32.046719,-19.11236,76800.0,18.4,348
32.07198,-18.24391,76100.0,19.43,347
32.166195,-20.206776,77800.0,17.85,356
32.174034,-20.043467,76500.0,17.88,356
32.066288,-19.517231,75000.0,18.05,348
31.945389,-18.541153,74200.0,19.17,347
31.935844,-20.208872,77600.0,17.33,359
31.805271,-18.954092,73900.0,18.15,349
31.752914,-18.183439,74800.0,18.59,348
31.689775,-18.072561,75900.0,18.53,348
31.853195,-20.204988,75300.0,17.11,2
31.881281,-20.112314,75700.0,17.71,1
31.832968,-19.430101,73700.0,18.01,349
31.752562,-19.149487,73800.0,17.84,349
31.57579,-18.815599,71900.0,17.26,350
31.677462,-18.36652,72900.0,17.92,348
31.644913,-18.15,73600.0,18.14,348
31.683434,-17.001078,79600.0,17.99,347
31.493793,-18.494169,72300.0,17.44,348
31.46986,-17.830696,74200.0,16.86,345
31.385948,-17.292921,78600.0,15.52,345
31.601168,-19.682995,73100.0,16.75,354
31.512829,-19.39868,72700.0,15.68,352
31.463478,-18.994793,72300.0,16.8,350
31.366247,-18.706156,71300.0,16.22,349
31.245277,-18.21315,75400.0,15.88,347
31.334023,-17.398256,77100.0,13.44,343
31.397629,-20.666363,71400.0,15.97,6
31.17355,-19.05604,71500.0,18.16,346
31.160505,-18.819717,71900.0,17.28,348
30.902456,-19.370668,77400.0,17.53,354
31.115173,-18.273222,77300.0,15.54,347
31.127577,-17.111151,76200.0,17.08,339
31.100201,-16.713366,79300.0,16.63,343
30.853539,-17.443705,74000.0,18.47,339
30.772495,-19.228516,76900.0,18.25,349
30.804892,-19.121786,74000.0,19.18,347
30.845709,-18.004227,78200.0,16.83,344
30.713284,-17.002537,77700.0,18.07,337
30.63904,-20.300844,79500.0,18.26,356
30.606058,-20.80356,71800.0,18.37,358
30.340345,-17.666374,76100.0,17.48,340
30.531172,-16.768606,77100.0,18.21,337
30.493414,-20.749502,73700.0,18.05,359
30.285927,-17.206232,78600.0,20.14,342
29.857189,-20.551447,78600.0,17.35,1
29.787716,-20.814325,71300.0,16.6,1
29.702768,-20.424845,78900.0,16.5,3
29.569948,-20.938946,70400.0,15.98,5
29.580112,-20.796005,71300.0,16.42,3
29.204023,-21.001074,78900.0,16.75,5
29.132803,-21.211208,79300.0,16.88,12
29.189516,-20.538931,79600.0,17.91,5
29.028639,-21.358482,76600.0,15.86,16
28.866255,-19.983685,79700.0,16.91,10
28.930527,-21.306692,75200.0,15.27,18
28.824795,-21.692028,74000.0,15.63,23
28.848288,-21.463085,74100.0,15.73,22
28.334681,-21.978786,75100.0,15.78,25
27.290821,-22.460815,71200.0,17.87,26
27.264036,-22.172781,73100.0,16.46,24
27.081509,-22.426201,72800.0,16.08,30
26.888931,-21.464329,78000.0,17.46,31
26.932646,-21.776085,77700.0,17.51,30
26.87785,-22.233227,74000.0,17.23,29
26.759975,-22.581591,74300.0,17.31,33
26.674828,-22.078379,78800.0,17.63,28
26.669214,-22.30579,77800.0,18.21,30
